Title,Description,Link
WandaVision Episode 9: The Series Finale,"This is it, folks. The series finale, devoted to The Series Finale. In which Chris Hewitt, Helen O'Hara, James Dyer and Ben Travis discuss all the twists and turns of the final episode of WandaVision. Do they stick the landing while talking about whether this bold, bizarre, audacious show stuck the landing? That's for you to judge. Word to the wise, though -- this week's rendition of the Marvel Studios Fanfare is not for the fainthearted, or fainteared. Approach with caution. Chaos has been embraced, and it's very far from magic. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_series_finale_spoile_e6f4aea6_normal.mp3
WandaVision Episode 8: Previously On,"WandaVision stepped into uncharted territory this week, as a certain character helped another certain character take a walk down memory lane. And, as ever, that has prompted Team Empire (Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis) to discuss the revelations, theories galore (whether proved, unproved, or thoroughly debunked), and wipe a single tear rolling down their collective cheek.

Oh, and the Marvel Studios Fanfare Orchestra is on rueful, maybe even mournful, maybe even sensual form, this week.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_episode_8_spoiler_sp_4521ec20_normal.mp3
WandaVision Episode 7: Breaking The Fourth Wall,"In our most musical episode yet (and yes, that's a warning), the Empire Podcast team of Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis tackle the seventh episode of WandaVision and, in-between bouts of song, talk about the major revelations this week (and boy, were there major revelations this week), discuss where they think the show might go in its final two episodes, and talk about the Room 237 Factor, and how it can affect audience perceptions of a TV show. And if that seems a bit highfalutin', don't worry, there'll be a silly joke along in a second. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_episode_7_spoiler_sp_36b8e286_normal.mp3
WandaVision Episode 6,"With the home stretch just about in sight for WandaVision, the MCU's first TV show is doubling down on the weirdness and witchcraft with this very special Halloween-themed episode in which Wanda gets to know an unfamiliar face from her past, Vision turns detective, and Darcy becomes perilously close to becoming the first character in the Marvel Cinematic Universe to say the F-word. 

And, naturally, Team Empire (Chris Hewitt, Ben Travis, Helen O'Hara, and James Dyer) is on hand to talk about the episode in depth, and answer your questions. As best as they can. Which isn't very well, let's be honest. But they do natter about the latest theories, exchange some harebrained thoughts of their own, and Chris overshares. 

And even though this is a Halloween episode, you'll be glad to know that Chris doesn't, for once, take the opportunity to sing the Silver Shamrock song from Halloween III: Season Of The Witch. However, there's a piece of music in this episode that is ten times more terrifying. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_episode_6_mixdown_c97f8351_normal.mp3
WandaVision Episode 5 -- On A Very Special Episode,"This week's episode of WandaVision threw more mystery ingredients into the show's ever-thickening stew, including THAT cliffhanger appearance by a very special guest star. And, in trying to explain that, and a dozen other head-scratchers, Team Empire went so far down the rabbit hole that they wound up recording an extra half-hour on Monday morning. And they're still none the wiser.

As will you, most probably. But we hope that you'll at least be entertained as Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis chase down all kinds of theories, float all kinds of idle speculation, and pay their most heartfelt, and ear-shattering, tribute yet to the Marvel Studios fanfare. 

Enjoy. And apologies.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_episode_5_mixdownham_2e9c6e44_normal.mp3
WandaVision Episode 4,"Well, well, well... after three weeks setting up the mystery of what is happening to Wanda and Vision, this week's episode of the MCU show opened the door a crack, giving us some answers, and setting up a whole bunch of new questions at the same time. Scratching their heads, and offering increasingly barmy theories, are the usual podteam of Chris Hewitt, Helen O'Hara, Ben Travis, and James Dyer. Plus: a rendition of a certain theme that is sure to be this year's Christmas number one. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_episode_4_mixdown_74087ea9_normal.mp3
Wonder Woman 1984,"Here it is, folks. Now that we've all had a chance to see Patty Jenkins' Wonder Woman 1984, be it on your sofaplex or an actual cinema, the time has come to give our spoiler special a whirl. Recorded before its UK PVOD release (and, therefore, before we had seen the post-credits sting), this sees Chris Hewitt, Helen O'Hara, Amon Warmann, and Ben Travis get together for an in-depth natter about the movie, its themes, its lack of Eighties pop bangers, the bad guys, and much, much more. 

Life is good... but it could be better. Improve it instantly with this podcast. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wonder_woman_1984_spoiler_specia_1cc61b72_normal.mp3
WandaVision episode 3,"WHAT THE DICKENS! With its third, 70s-set episode, WandaVision moves into even more bizarre and unsettling territory as Wanda finds herself going through a very accelerated pregnancy, Vision begins to have misgivings about what's going on under the surface, and Geraldine says something she shouldn't. 

And in this episode, Chris Hewitt, Helen O'Hara, Ben Travis, and James Dyer discuss the goings-on in great detail, offer more possibly preposterous theories about what's going on, answer listener questions as best as they can, and pay Michael Giacchino the ultimate mark of respect. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_ep_3_spoiler_special_c9a088a6_normal.mp3
WandaVision episodes 1 and 2,"FLOURISH! 

At long, long last, normal service (of sorts) has resumed in the Marvel Cinematic Universe, with the debut of WandaVision, the bonkers show-within-a-show that sees the return of one of the MCU's power couples, Wanda Maximoff (Elizabeth Olsen) and Vision (Paul Bettany). Only they're seemingly trapped in a sitcom. And Vision's not dead. So something is amiss. But what could it be? And who might be behind it? 

In the first of our WandaVision spoiler specials, Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis try to answer these questions, and fail miserably. But along the way they throw out wild theories about the show's ultimate destination, have a singalong with the Marvel Studios fanfare, indulge in the usual nonsense, and answer the biggest question of them all: who would win in a fight... Vision, or Baby Yoda? 

Enjoy. FLOURISH!",https://bauernordic-pods.sharp-stream.com/gb/1206/wandavision_eps_1_and_2_spoiler__fe365d35_normal.mp3
Soul (Part Two),"Hot on the heels of our first Soul spoiler special (which featured interviews with director Pete Docter, co-director Kemp Powers, and producer Dana Murray), now it's time for Team Empire to talk about this melon-twisting slice of animated goodness. Join Chris Hewitt, Helen O'Hara, Amon Warmann, and Alex Godfrey as they talk about the film's high-falutin' concepts, its status as the first Pixar movie to feature a Black lead character, and they discuss the biggest question of them all: how did Graham Norton wind up in a Pixar movie?

Enjoy. With apologies to Ben Shephard.",https://bauernordic-pods.sharp-stream.com/gb/1206/soul_spoiler_special_part_two_mi_7ca20f38_normal.mp3
"Soul Part One ft. Pete Docter, Kemp Powers and Dana Murray","Soul, Pete Docter's latest noodle-baking slice of Disney/Pixar magic, is a big movie that tackles big themes (and also has a bit where a cat cuts someone's hair). So, naturally, our spoiler special is suitably-sized in response. In the first part of this two-parter, Chris Hewitt sits down for virtual chats with the film's director, Docter, his co-director/co-writer Kemp Powers, and producer Dana Murray. They talk about a whole bunch of stuff, including the film's ending, the very different form it once took, the challenges of making difficult philosophical concepts easy to grasp for audiences, and the body-swap storyline that has generated some controversy. 

Part Two will see Team Empire talk about the film. 

Enjoy!",https://bauernordic-pods.sharp-stream.com/gb/1206/soul_spoiler_special_part_one_mi_b6409e0a_normal.mp3
National Lampoon's Christmas Vacation ft. Jeremiah S. Chechik,"Merry Christmas, everyone! Here's a little Christmas bonus for you all, and one that doesn't involve kidnapping Brian Doyle-Murray from his home, tying him in a giant red ribbon, and bringing him home to place him under the tree. Instead, on this Christmas Eve, Team Empire invites you to dive deep into the all-time Chrimbo comedy classic that is National Lampoon's Christmas Vacation (or National Lampoon's Winter Holiday, as it is also known these days). 

As well as a lengthy interview in which Chris Hewitt talks to the film's director, Jeremiah S. Chechik, about his memories of making the Chevy Chase chucklefest, Chris is joined by Helen O'Hara and Nick de Semlyen for a fun-filled chat about the movie. Warning: may contain stories about marauding squirrels. 

Merry Christmas to everyone who subscribed to the spoiler specials this year. As Cousin Eddie says, that's the gift that keeps on giving, the whole year.",https://bauernordic-pods.sharp-stream.com/gb/1206/christmas_vacation_spoiler_speci_ba0d8aba_normal.mp3
Love Actually retro spoiler special,"As Alan Rickman once said, 'it's Christmas, Theo... it is a time of good cheer, so bring me my retro spoiler special on Love Actually'. OK, we're paraphrasing. But, because you demanded it after our little mini-detour on the regular pod the other week, as a very special Christmas treat, Chris Hewitt, Helen O'Hara, and Love Actually mega-fans James Dyer and Terri White (who has seen it, somehow, over 200 times) got together to have a good old natter about Richard Curtis' 2003 paean to love and the power of Christmas. 

No Richard Curtis this time (and, if we're honest, ever, if he gets around to listening to this). It's just Team Empire chewing the fat over a very divisive Christmas movie. Two of our team love it. Two of them are on the ambivalent side to say the least. So a good time is guaranteed for all -- there are terrible impressions (not all from Chris), dissection of the film's most troubling threads, and the most astonishing pronunciation of the word 'necklace' that you will ever hear. 

Enjoy. Merry Christmas!",https://bauernordic-pods.sharp-stream.com/gb/1206/love_actually_spoiler_special_mi_439877b6_normal.mp3
Ghosts s2 Part Two ft. Jim Howick and Mathew Baynton,"Our Ghostsarama celebration of the wonderful BBC One sitcom continues with another in-depth interview with two of its stars/writers/creators. This time, Chris Hewitt sits down on Squadcast with Jim Howick, who plays Pat, and Mathew Baynton, who plays Thomas, to talk about the three episodes they wrote in the second series, the concept of Bad Pat, taking cues from Rashomon, and much, much more. 

A third part, in which Chris Hewitt, Boyd Hilton, and Beth Webb discuss the show will follow along in the next couple of days. But for now, enjoy this deep dive into one of the best sitcoms in years.",https://bauernordic-pods.sharp-stream.com/gb/1206/ghosts_s2_spoiler_special_part_t_43a2ce91_normal.mp3
"Ghosts s2 Part One ft. Laurence Rickard, Martha Howe-Douglas and Ben Willbond","If you haven't already clambered aboard the Ghosts train, you really should. The BBC One sitcom, about a young couple who move into a country home that's populated by a dysfunctional family of ghosts, is created and written by, not to mention starring, the formidable comedic team of Laurence Rickard, Martha Howe-Douglas, Ben Willbond, Mathew Baynton, Jim Howick, and Simon Farnaby, and it is one of the most gloriously inventive, sweet, heartwarming and hilarious sitcoms of recent years, and is just what your 2020 needs. With the second series recently finished, and the Christmas special about to air on BBC One, this multi-part special dedicated to the show kicks off with a lengthy conversation between Rickard, Howe-Douglas and Willbond, and our very own Chris Hewitt, in which they discuss a great many things, including The Captain's sexuality, the joys of Simon Farnaby's finger, and the thin line you have to tread in a comedy when one of your main characters is called Fanny. 

For King and Country! Enjoy!",https://bauernordic-pods.sharp-stream.com/gb/1206/ghosts_s2_spoiler_special_part_o_1f96de7d_normal.mp3
The Mandalorian Chapter 16 — The Rescue,"This is it, folks: the last episode (for now) of The Mandalorian, and as a result, the last spoiler special discussing The Mandalorian. In this extended episode, Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis discuss the many major revelations, twists, and cameos of Chapter 16, take a bunch of listener questions, and ask where the show can go now that [REDACTED]. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mando_chapter_16_spoiler_special_5ddbfebe_normal.mp3
The Mandalorian Chapter 15 -- The Believer,"The penultimate chapter of the second season of The Mandalorian is a thrill-packed death-defying ride that tips its helmet to one of the greatest movies of all time, The Wages Of Fear. In this episode, Chris Hewitt, Helen O'Hara, James Dyer and Ben Travis discuss that, the way in which the episode challenges Mando's core beliefs and pushes him to do something truly startling, the absence of a key character, and much, much more. Is there also singing and a plethora of helmet gags? Well, this is the way. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_15_spoiler_s_7db3ba7a_normal.mp3
The Mandalorian Chapter 14 -- The Tragedy,"With a title like that, Team Empire wades gingerly into this week's episode of The Mandalorian, discussing the return of [REDACTED], the fate of [EVEN MORE REDACTED], and Pedro Pascal's [TRIPLE REDACTED]. Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_14_spoiler_s_e54b0308_normal.mp3
The Mandalorian Chapter 13 — The Jedi,"This week's episode of The Mandalorian was perhaps the most eventful yet, with huge revelations about our beloved Baby Yoda, the first live-action appearance of animated series stalwart Ahsoka Tano (played here by Rosario Dawson), and a grizzled cameo by Kyle Reese and Dwayne Hicks himself, Michael Biehn. Plenty for our podteam — Chris Hewitt, Helen O'Hara, Ben Travis, and James Dyer — to get their teeth into, then. So, naturally, in an episode that's even more chaotic than usual, why on Corvus are they talking about Sunset Beach, Neighbours, and Han and Leia's sexual proclivities? 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_13_spoiler_s_ed8c54e3_normal.mp3
His House ft. Remi Weekes,"Remi Weekes' His House is not just one of the best horror films of the year, but one of the best films of the year. The tale of how two South Sudanese asylum seekers (played by Sope Dirisu and Wunmi Mosaku) have to contend with not only the horrors of life as refugees in the UK, but also a vengeful spirit that has taken up residence in their home, it packs plenty of shocks and social commentary into its slim running time, bolstered by Weekes' eye for an indelible image and incredible performances from Dirisu and Mosaku. 

It's a film so good that we wanted to give it the spoiler special treatment so, in this episode, Chris Hewitt has an in-depth chat with Weekes about his movie, and following that Chris is joined by Amon Warmann and Helen O'Hara to start stripping off the walls of His House to see what lurks underneath the surface. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/his_house_spoiler_special_mixdow_4d0c470c_normal.mp3
The Mandalorian Chapter 12 -- The Siege ft. Carl Weathers,"This week's deep dive into the spoilery seas of The Mandalorian sees a very special guest tag along for the ride — the legendary Carl Weathers, who not only returns to the show for this episode as Greef Karga, but also slides into the director's chair, and oversees more action than you could shake a speeder bike at. In our extended chat, he talks to Chris Hewitt about his approach as a director, working with Baby Yoda, handling the action scenes, and more. 

Then, on the other side of Carl, Team Empire — Chris, Helen O'Hara, James Dyer, and Ben Travis — convene for another in-depth discussion of the show, featuring so much talk of baked goods that you might be forgiven for thinking you've come to the wrong show, and another landmark moment in the slow but steady, Anakin-esque corruption of the previously pure Ben Travis. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_12_spoiler_s_5953777c_normal.mp3
The Mandalorian Chapter 11 -- The Heiress,"This week's squidtastic breakdown of the latest episode of The Mandalorian finds Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis wrapping their tentacles around the wettest live-action iteration of Star Wars to date. Join them as they discuss all the ins and outs of this Bryce Dallas Howard-directed episode, featuring huge revelations for Mando, a moment of peril for Baby Yoda, and a merman in a sweater. 

Oh, and don't query them on their knowledge of Star Wars: Rebels and Star Wars: The Clone Wars. If there's one thing that this episode makes clear, it's that the gang watch those shows religiously and know them inside out. Ahem. 

Enjoy. This is the way.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_11_spoiler_s_3738ce81_normal.mp3
The Mandalorian Chapter 10: The Passenger,"Mando and Baby Yoda (note: may not be their official character names) are back for another instalment of the live-action Star Wars TV show, and so are Team Empire. In this week's episode, Chris Hewitt, Helen O'Hara, James Dyer, and Baby Yoda apologist Ben Travis assemble to discuss the Timothy Olyphant-free zone that is The Passenger. It's got it all: terrible impressions, big theories about the show's direction, and one of the team shares a terrifying tale of a very close encounter with a spider. Arachnophobes, you have been warned. 

Enjoy. We have spoken.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_10_spoiler_s_d3a8a1ca_normal.mp3
The Mandalorian Chapter 9: The Marshal,"The Mandalorian is back, Baby Yoda in tow, for a second season of the Disney+ show that is breathing new life into Star Wars. And so, naturally, we've reassembled the old podcast crew -- Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis, who's this close to triggering a court order from Baby Yoda -- to have a natter about the first episode of the second season. 

It's called The Marshal, it's the longest episode to date, and it's filled with all kinds of Star Warsy goodness. And in this, the first of our weekly spoiler specials, the team discuss the episode, its numerous in-jokes, Easter eggs and references, how it might fit into the overarching story of the show and, of course, the Star Wars debut of Timothy Olyphant, making a strong play for the coveted Handsomest Man In The Galaxy award. If you want plenty of Star Wars discussion and much thirsting over Cobb Vanth, you've come to the right place. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_9_spoiler_sp_fa229da6_normal.mp3
Rebecca ft. Ben Wheatley,"Last night, we recorded a podcast at Manderley again. And they're absolutely furious. We left Kit-Kat wrappers everywhere and broke at least one vase. Sorry! 

Anyway, Ben Wheatley's latest movie, Rebecca, is an adaptation of the classic Daphne du Maurier novel (and, it could be argued, a remake of Alfred Hitchcock's 1940 Best Picture winner) about a young woman (Lily James), who finds that her whirlwind marriage to the rich and handsome Maxim de Winter (Armie Hammer), isn't enough to paper over the cracks left by his previous marriage to the titular, and very dead, Rebecca. It's lavish, well-acted, handsomely appointed and has plenty of subtext to get your teeth into, and in this spoiler special Chris Hewitt sits down with Wheatley for an in-depth chat about the film's major themes, happenings, twists and turns. 

Then, in the virtual podbooth, Chris is joined by Helen O'Hara, John Nugent, and Empire's Editor-In-Chief, Terri White (who's in a tiny office, so might sound a bit echoey), for further in-depth discussion of the movie. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/rebecca_spoiler_special_mixdown_05750648_normal.mp3
"Project Power ft. Henry Joost & Ariel Schulman, Mattson Tomlin","Project Power is the fun Netflix sci-fi thriller that asks the simple question: what would you do if you could take a pill that imbued you with superpowers for five minutes? Our answer, obviously, would be: make a podcast about it. 

In this jam-packed episode, Chris Hewitt sits down (virtually, of course) with the film's directors Henry & Rel, aka Henry Joost and Ariel Schulman (and Henry's cat, Willy), plus screenwriter Mattson Tomlin, for a deep dive into the ins and out, twists and turns of the Jamie Foxx/Joseph Gordon-Levitt/Dominique Fishback superhero caper (without capes). 

Then Chris is joined by his colleagues of such lethal cunning, Helen O'Hara, Ben Travis, and Amon Warmann for a lengthy discussion of the film that frequently (you have been warned) descends into anarchy. And if you think that we were on something while recording this episode, be it Power, Pro Plus or otherwise, we have this to say to you, in the wise words of William S. Sessions, former Director of the FBI: 'winners don't use drugs'. Damn straight, Bill. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/project_power_spoiler_special_mi_78550723_normal.mp3
Bill & Ted Face The Music ft. Dean Parisot and Ed Solomon,"Whoa, dudes! Here's a most excellent and totally non-bogus spoiler special dedicated to the third (and final?) part of the Bill & Ted trilogy, the long-awaited Bill & Ted Face The Music. In this epic episode, Chris Hewitt has a chat with the film's director, Dean Parisot, and an extended, one-hour pow-wow with the film's co-writer, and co-creator of Bill S. Preston Esq. and Ted 'Theodore' Logan, Mr. Ed Solomon. It's a belter, with tons of previously unheard tidbits about the creative process behind the film, so tuck in. 

And then Chris is joined by Ted-heads, and Bill-thrillers, Helen O'Hara, Nick de Semlyen, and Dan Jolin for a deep dive into the movie as well. It's non-non-non-non-non-heinous. If that's too many nons, let us know. If we've added too many, that means we're nonplussed. 

And on that cracking joke... enjoy, dudes! PARTY ON!",https://bauernordic-pods.sharp-stream.com/gb/1206/bill_and_ted_face_the_music_spoi_4295f97d_normal.mp3
"Host ft. Rob Savage, Jed Shepherd and Gemma Hurley","Happy Spookies, everyone! As October kicks off, and Halloween heaves into view, here it is at last: Empire's deep dive into the scariest horror film of the year, Rob Savage's Shudder sensation, the Zoomtastic Host, the film in which a group of women decide to hold a seance over Zoom, and find that dropped audio is the least of their worries. 

In this episode, you will find an epic and entertaining 90-minute interview with Savage and his co-writers, Jed Shepherd and Gemma Hurley, in which Chris Hewitt drills deep down into the film's origins, plot twists and turns, and the extraordinary level of detail that went into planning this movie, which was conceived, shot, edited, and released entirely during lockdown.

Then, in the virtual podbooth, Chris is joined by Ben Travis, professional fraidy-cat Amon Warmann and, for the first time on the pod, Mike Muncer, host of the excellent podcast The Evolution Of Horror, to talk about the bits that made them jump out of their skin. 

And yes, the eagle-eyed amongst you will have noticed that this spoiler special is almost five times longer than the film it's spoiling specially. And it's only half as terrifying. Go figure. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/host_spoiler_special_mixdown_e409376a_normal.mp3
Mission: Impossible — Rogue Nation ft. Christopher McQuarrie,"We're not entirely sure how this happened, but as some of you pointed out, the epic Mission: Impossible — Rogue Nation chat with that film's writer/director Christopher McQuarrie somehow didn't make the migration to the spoiler special subscription channel. So here you go, folks. We had to break into the underwater vault containing all our files, and find this one, but it was worth it. 

For here is the baby brother of our marathon Fallout conversations, the one that began it all, so to speak. In which Chris Hewitt invited McQuarrie into the podbooth to talk about Rogue Nation for an hour or so... and then they ended up talking for almost three. Along the way, McQuarrie sheds all kinds of light on the difficulties of making a blockbuster of this size, his approach to the characters and set pieces, the way the film's ending changed, and working with Tom Cruise. 

We can think of no better way to spend three hours. Unless you're listening to one half of our Mission: Impossible — Fallout spoiler specials, of course...

Enjoy. This podcast will self-destruct in five seconds.",https://bauernordic-pods.sharp-stream.com/gb/1206/christopher_mcquarrie_mission__i_e5ac3b1d_normal.mp3
Flash Gordon ft. Mike Hodges,"Flash! AAAAAAAAAAAH! Sorry, just stubbed our toe there. 

Yes, our latest retro spoiler special is dedicated to Mike Hodges' sci-fi camp classic, FLASH GORDON. And Mr. Hodges joins Chris Hewitt, via telephone, for a deep dive into the beloved film as it celebrates its 40th anniversary. 

Then, in the remote podbooth, Chris is joined by Flash superfans Helen O'Hara and Dan Jolin as they talk about the film's innate rudeness, the Queen soundtrack, their favourite bits, and Brian Blessed shouting, ""GORDON'S ALIVE?"" Well, he is, and although he's now turned 40, he doesn't look his age. 

Enjoy! AAAAAAAAAAAAH! Sorry, toe again.",https://bauernordic-pods.sharp-stream.com/gb/1206/flash_gordon_spoiler_special_mix_2c2ae692_normal.mp3
